EventName,Text,Label
Missed Shot by Justin Jackson,Jackson drive the floater off the glass.,1.0
Missed Shot by Ricky Rubio,Initially it tried that finger roll in balance units in an effort to save it.,1.0
Copy of 2-pointer by Khris Middleton,Middleton to fake the floater?,1.0
FT-Missed by Steven AdamsRebound by Zion Williamson,Adams getting that dunk off a high pick and roll.,0.0
FT-Made by Dejounte Murray,The young guys trying to find their rhythm play some pick and roll today.,0.0
FT-Made by Dejounte Murray,"Yeah, pick and roll.",0.0
Dunk by Bruno FernandoAssist by Kevin Huerter,Nice pick and roll herder.,1.0
Rebound by Jusuf Nurkic,Is Derek with a hot floater cut the rim?,1.0
Rebound by Joel Embiid,Alley Oop intercepted by Embiid Hornets.,1.0
Rebound by Joel Embiid,Alley Oop intercepted by Embiid Hornets.,0.0
Missed Shot by Devonte' Graham,Alley Oop intercepted by Embiid Hornets.,1.0
Missed Shot by Devonte' Graham,Alley Oop intercepted by Embiid Hornets.,0.0
Turnover by Rodney McGruderSteal by Cedi Osman,"Bring their vice Nights uniform, ever scouted that alley oop very well they'd like to go to Whiteside and Bam, Adebayo on those passes.",0.0
Dunk by Clint CapelaAssist by James Harden,Hard drives another alley oop.,1.0
2-pointer by Tomas SatoranskyAssist by Kris Dunn,Santa ran ski with a floater and it's worn on the right.,1.0
2-pointer by Nikola Jokic,High rainbow shot.,1.0
2-pointer by Bradley BealAssist by Isaiah Thomas,He's been relentless as a post up.,0.0
Missed Shot by Julius RandleRebound by De'Andre Hunter,They dial up Julius Randle for post up right away.,1.0
Rebound by Troy Daniels,The teardrop couldn't get it to go.,1.0
2-pointer by Darius Garland,"Thompson also had his first NBA 222 nights ago in that game against Indiana Garlands, exactly the foul line's teardrop is true.",1.0
Foul by Paul George,Gobert could not get the tip in on that end in Putun had it not able to convert.,0.0
Missed Shot by Ben SimmonsRebound by Ben SimmonsMissed Shot by Tobias Harris,The floater doesn't go for Simmons.,1.0
Missed Shot by CJ McCollumRebound by Rudy Gobert,They're going to let these guards shoot these little floaters.,0.0
2-pointer by Andrew WigginsAssist by Dragan BenderFoul by Deandre Ayton,You may see some double teams from the wars that you gotta rotate out of it.,0.0
Turnover by Romeo Langford,Tatum double team.,0.0
3-pts Made by Bradley BealAssist by John Wall,So how quick are these double teams coming for Detroit?,0.0
Missed Shot by Trae YoungRebound by Bruce Brown,Comics and Trey Floater from Trey's little law.,1.0
Missed Shot by Paul MillsapRebound by Taurean Prince,Millsap wants the post up.,1.0
2-pointer by Jayson Tatum,15 foot high offer nothing but net and he wanted to back.,1.0
Missed Shot by Miles BridgesRebound by Miles Bridges,Gotta post up Cody Zeller.,0.0
Dunk by Garrett Temple,Garrett Temple gets away from Josh Hart slam dunk.,1.0
Missed Shot by Kevin Durant,Double teaming already thinking about Curry.,0.0
2-pointer by Steven AdamsAssist by Danilo GallinariFoul by Derrick Favors,Now it's Adams wanted to post up favors.,1.0
Foul by Bruno Fernando,Gary Harris turns the corner now Millsap great pump fake.,1.0
3-pointer by Kent BazemoreAssist by Isaiah Taylor,Taylor on the run to Bazemore in the corner and he splashes in the tree.,1.0
2-pointer by Jrue Holiday,A little pick and roll action between yards and drew and drew his.,1.0
2-pointer by Paul Millsap,"Millsaps, trying to power his way to the basket, little finger, rolled over removed by Millsap, but good position.",1.0
Jump Ball by Christian WoodBlock by Christian WoodMissed Shot by Julius Randle,"Randall pulls the mist down, brings it to four court NYT up 6 Randall in the Lane double team.",1.0
Missed Shot by Brook LopezRebound by Eric Bledsoe,"Yeah, both teams try to score at the rim, but then there's Splash Mountain taking the team three let's their center.",0.0
Missed Shot by Dennis Smith Jr.Block by Alex Len,post up the smaller Trae Young and Sweet Junior missing badly there.,1.0
2-pointer by Donovan Mitchell,Player for the Thunder last night to Billy Donovan relied on over 15 minutes is Mitchell gets inside and his floater drops in.,1.0
2-pointer by Fred VanVleet,Loves that little back down put post up there.,0.0
3-pointer by Luka Doncic,Nothing but net.,1.0
Replay - Auto,Here a little power throwing his body into Julie's random backs him up and then showing off his little finger roll.,1.0
Foul by Marc GasolMissed Shot by Pascal Siakam,Pascal look into post up strong take and it doesn't go.,1.0
2-pointer by Taj Gibson,Catholic by three paint double team gets it back out to Taj Gibson.,1.0
Turnover by Mike ConleySteal by Zach LaVine,Depoorter the floater falls.,1.0
Replay 0.069-0.061,"But back at you with the alley Oop, older Harden gets the ball.",1.0
Missed Shot by Mikal BridgesMissed Shot by Mikal BridgesMissed Shot by Mikal BridgesMissed Shot by Mikal BridgesRebound by Mikal BridgesRebound by Nikola Vucevic,Nearly had the tip in to get the same shot that Gordon got.,1.0
Missed Shot by Cedi Osman,Boston between the legs short.,0.0
Foul by Jeremy Lamb,"Good chemistry between those two, they play a lot of pick and roll together.",1.0
Missed Shot by Derrick RoseRebound by Jarrett Allen,Here's Rose Derrick Rose with that floater.,1.0
Missed Shot by Tomas SatoranskyRebound by Thaddeus Young,70 shoot it gets into the paint on a tough fadeaway that's off the front of the iron.,1.0
Missed Shot by OG Anunoby,Coast to coast now kicks it back out.,0.0
Rebound by Tremont Waters,Coast to coast now kicks it back out.,0.0
Assist by Paul Millsap,"Now over tomorrow good pump, fake jokisch.",1.0
Foul by Kevin Love,Tristan Thompson guarding Geron Heroes to the bucket on a pick and roll.,1.0
2-pointer by Bojan Bogdanovic,Partner is going to be middle pick and roll defense.,1.0
Missed Shot by Danny GreenRebound by Joel Embiid,Quick move before the double team had a chance of getting there.,0.0
2-pointer by Kyle O'QuinnAssist by Trey Burke,"Here's Trey Burke, guarded by Bledsoe on the pick and roll.",1.0
FT-Made by Derrick Favors,"You could play the midrange game, he could post up other guards as Derrick favors.",0.0
Missed Shot by Lonzo BallRebound by Jalen Brunson,"They're going to blitz, which means double team on the pick and roll.",0.0
Missed Shot by Lonzo BallRebound by Jalen Brunson,"They're going to blitz, which means double team on the pick and roll.",0.0
3-pointer by CJ McCollumAssist by Hassan Whiteside,He was double teamed over to McCollum Corner 3.,1.0
Missed Shot by Giannis Antetokounmpo,And also Westbrook guys that can defend post up players in this League.,1.0
Dunk by Jake LaymanAssist by Damian Lillard,He beats her during transition and Tomahawks one arranging Tomahawk from Lehman to get things started here in Atlanta.,1.0
Dunk by Jake LaymanAssist by Damian Lillard,He beats her during transition and Tomahawks one arranging Tomahawk from Lehman to get things started here in Atlanta.,1.0
2-pointer by Clint CapelaAssist by James Harden,"Listed at 51 and 28 third place in the West, parted with between the legs to set up Capella.",1.0
Steal by Aaron Gordon,360 with a slam dunk.,1.0
Foul by Nikola Vucevic,Bacon pick and roll game with Vucevic off the dribble.,1.0
Missed Shot by Dwayne Bacon,Bacon pick and roll game with Vucevic off the dribble.,1.0
Missed Shot by Kawhi LeonardRebound by Torrey Craig,Kowhai Leonard looking to post up Jamal Murray.,1.0
FT-Made by Jayson Tatum,So can you start faster than pick and roll defense?,0.0
Turnover by Domantas SabonisSteal by James Harden,"Double team comms, Domasin Trouble and Harden makes the steal his heart came with double.",1.0
2-pointer by Marcin GortatAssist by Avery Bradley,"On the wings of Bradley against Curry shot clocks down to seven pick and roll picked up off the floor nicely by Gortat, Johnson.",1.0
Missed Shot by Paul MillsapBlock by Iman ShumpertRebound by Jamal Murray,He steps up on the pick and rolls and make sure that he's not hanging back in the Lane.,0.0
3-pointer by Brook Lopez,It appears Lopez for three is nothing but net.,1.0
2-pointer by Josh OkogieAssist by Jordan McLaughlin,Sacoche finger rolling at home.,1.0
Missed Shot by Miles BridgesRebound by Cody Zeller,"Bridges little floater in the Lane, no yellow and offensive rebound.",1.0
2-pointer by Luka Doncic,Effectively touches fadeaway jumper.,1.0
Rebound by Miles Bridges,Thomas Bank shot in it.,1.0
Missed Shot by Matt Thomas,Thomas Bank shot in it.,1.0
Missed Shot by Malcolm BrogdonRebound by Tobias Harris,"Because of Josh Richardson's injury, he's already made a game winner this year for Christmas, and The Teardrop by Brogdon missed in.",1.0
Missed Shot by Luka Doncic,Who would you like to Posterize in this League?,0.0
Missed Shot by Jamal MurrayRebound by Jamal Murray,"Murray, the floater, that Mrs Jokic tips it.",1.0
Missed Shot by Jusuf Nurkic,pick and roll with the big man.,1.0
Assist by Jamal Murray,He'll take it to the rack.,1.0
2-pointer by D'Angelo Russell,"Richardson, on his hips head, gets the role on the floater.",1.0
Missed Shot by Khris Middleton,Double team their shot Clock down to two.,1.0
3-pointer by Malik BeasleyAssist by Nikola Jokic,So tough on the block through double team.,1.0
Missed Shot by Joe InglesRebound by Joe Ingles,"Then again, tips in his own mess.",1.0
Missed Shot by Darius GarlandRebound by Jarrett Allen,"Carlin has been more of the point guard, the penetration, the floater off the rim.",1.0
Turnover by Thon MakerSteal by Fred VanVleet,The teardrop no.,1.0
Missed Shot by Myles TurnerRebound by David Nwaba,Zip surpassed the young finds a little people around the Horn Turner Rainbow shot the mark.,1.0
2-pointer by Willie Cauley-Stein,Nice past Cauley Stein attacking little finger roll put in the book and send them to the line.,1.0
2-pointer by Markelle Fultz,Orlando goes to the pick and roll game with bolts driving it to the basket.,1.0
Rebound by Devin BookerMissed Shot by Devin BookerRebound by Noah Vonleh,"Booker nearly had the tip in, and then he collides down low.",1.0
Dunk by Jarrett AllenAssist by Spencer Dinwiddie,"Very good at the pick and roll, and very bouncy.",1.0
Foul by Larry Nance Jr.,Thomas Jefferson will go coast to coast.,1.0
Replay 0.069-0.055,You wanna pick and roll?,1.0
Turnover by Trae Young,2 free throws for Josh Jackson and we are tide at four is frameworks that pick and roll this time on the side of steel by Jackson.,1.0
Missed Shot by Mario HezonjaRebound by Al Horford,Double teaming side by the Celtics.,1.0
Missed Shot by James HardenRebound by Clint CapelaMissed Shot by Clint CapelaRebound by Glenn Robinson III,"Starting down the Lane, little floater tipped up and out.",1.0
2-pointer by Wesley MatthewsAssist by DeAndre Jordan,Leslie Matthews inside gets the floater to fall.,1.0
2-pointer by Trae Young,He had a double team.,1.0
2-pts Made by Buddy Hield,His forms giving chase gotta contest those jumpers as he'll knocks down the fadeaway jumper.,1.0
2-pointer by Joel Embiid,MB pump fakes and drives in on land.,1.0
Replay - Auto,Little leaner floater that is straight in future.,1.0
Missed Shot by Kentavious Caldwell-Pope,Pope tend to shoot for the Lakers two point jump shot tipped in by LeBron and the Lakers last season led the League in tipping points per possession.,1.0
Missed Shot by Trae YoungRebound by Trae Young,I pick and roll with Jones this time.,1.0
2-pointer by Rondae Hollis-Jefferson,Alanna factor defensively RHJ going coast to coast for the Deuce.,1.0
Dunk by Kristaps PorzingisAssist by Courtney Lee,That's on the pick and roll.,1.0
2-pointer by Jalen Brunson,"I pick and roll evolving Brunson in Cleveland and with that shot by Jalen Brunson, Dallas is the first delivered tonight.",1.0
2-pointer by Marvin WilliamsAssist by Nicolas Batum,You'll see him post up.,0.0
Replay - Auto Detection,They want to put him in the pick and roll.,1.0
Missed Shot by Myles Turner,And here's the Dallas native Myles Turner for one of the things Miles worked on was his post up game.,1.0
3-pointer by Khris MiddletonAssist by Giannis Antetokounmpo,"Middleton, great job swish.",1.0
Missed Shot by Mike ConleyBlock by Andrew WigginsRebound by Jerryd Bayless,Conley's teardrop.,1.0
Turnover by Kyrie Irving,He couldn't find the hell down along the alley Oop.,1.0
Steal by Jaylen Brown,He couldn't find the hell down along the alley Oop.,1.0
2-pointer by Jaylen Brown,He couldn't find the hell down along the alley Oop.,1.0
3-pointer by Khris MiddletonAssist by Giannis Antetokounmpo,Knox comes to help out this week and doing a lot of dropping and double teaming.,1.0
Missed Shot by Collin SextonRebound by Thomas Bryant,Shot Clock down to Claude will post up in a fadeaway here for Sexton.,1.0
Missed Shot by Collin SextonRebound by Thomas Bryant,Shot Clock down to Claude will post up in a fadeaway here for Sexton.,1.0
Missed Shot by Rudy GobertBlock by Nikola VucevicRebound by Aaron Gordon,"Bogdanovich puts it down on the floor with his left hand, goes to his right and can't finish with the finger roll.",1.0
2-pointer by Pascal SiakamAssist by Kyle Lowry,Driving with the finger roll the rim coming All Star looking moving.,1.0
Missed Shot by Reggie BullockRebound by Andre Drummond,Wait for the double team.,0.0
2-pointer by Chris PaulAssist by Clint Capela,It's the teardrop floater that was about as high as you can throw.,1.0
2-pointer by Chris PaulAssist by Clint Capela,It's the teardrop floater that was about as high as you can throw.,1.0
Assist by Lance Stephenson2-pointer by Kentavious Caldwell-Pope,Fat shoot nothing but net for Casey gotta find more shots for Casey's meeting.,1.0
Rebound by Reggie Bullock,"He had never had a major injury in his life and he was out for the entire season, as garlands floater doesn't go.",1.0
Missed Shot by Darius Garland,"He had never had a major injury in his life and he was out for the entire season, as garlands floater doesn't go.",1.0
3-pointer by Terry Rozier,Two of the best alley oop growers in the League.,0.0
Assist by Donovan Mitchell3-pts Made by Derrick Favors,Try the switching pick and roll.,1.0
Missed Shot by Jaxson Hayes,Pick and roll played very nicely.,0.0
2-pointer by Serge IbakaAssist by Kyle Lowry,Running floater is good for Serge Ibaka.,1.0
Jump Ball by Thomas Bryant,Tastic pump fakes slash and move without it he put on a show indeed he did and we are underway.,0.0
Turnover by Maurice Harkless,Nice floater.,0.0
Steal by Jrue Holiday,Nice floater.,0.0
3-pointer by Fred VanVleetAssist by CJ Miles,Miles with a pump fake back to Van Fleet.,1.0
Missed Shot by Julius RandleRebound by Dragan Bender,The 4th is Julia wanted to post up ******.,0.0
Steal by Rajon RondoTurnover by Milos Teodosic,Kevin at RIM run thereby Davis forced the mismatching great recognition Rim run to a post up and he asked you shot jump out of DVD.,0.0
Missed Shot by Eric BledsoeRebound by Giannis Antetokounmpo,Here's the floater again by Brockton.,1.0
Missed Shot by David NwabaRebound by Cristiano Felicio,Current is a double team.,1.0
2-pointer by Serge Ibaka,Here is a Baka using the jab steps just going on.,1.0
Missed Shot by Clint CapelaRebound by Clint Capela,Outlet pass broken up and then Capella.,1.0
3-pointer by Danuel HouseAssist by Clint Capela,Split a double team gets his own miss.,1.0
Missed Shot by CJ McCollumRebound by Kristaps Porzingis,After he gets there you can go to the floater Luka Doncic's can do the same thing.,0.0
2-pointer by Henry Ellenson,Allison goes coast to coast with the left hand layup off the glass.,1.0
Rebound by Chris Paul,What makes the coast to coast?,1.0
Foul by Tomas Satoransky,Chocolate down to two hard double team got found.,1.0
3-pointer by PJ Tucker,Pick and roll with Capella.,1.0
Missed Shot by Ben SimmonsRebound by Russell Westbrook,Harden backs off Simmons Simmons with a floater no good.,1.0
Rebound by Nikola Vucevic,Missing the free throw line floater.,1.0
Missed Shot by Luka Doncic,Missing the free throw line floater.,1.0
2-pointer by Josh Richardson,Point shot is going to be looking to get into the paint post up.,0.0
Rebound by Alex Len,"He can stretch you out, but also he is one of the best and being active around the glass and in the pick and roll.",0.0
Missed Shot by Anthony DavisRebound by LaMarcus Aldridge,Davis gets into it quickly on a fadeaway rings out regarded by Aldridge.,1.0
Missed Shot by Trae YoungRebound by Ivica Zubac,The floater box Ray rebounded by zoo Patch.,1.0
Rebound by Rudy GobertMissed Shot by Paul Millsap,Denver on the push and Millsap trying to go coast to coast miss with the left.,1.0
Turnover by Bradley BealSteal by Jimmy Butler,Coast to coast Simmons lazatin.,1.0
Foul by Marc Gasol,"On the NBA campus, tried to give and go.",1.0
2-pointer by Dwyane Wade,Wait posting up Hayward.,1.0
Missed Shot by Rondae Hollis-JeffersonRebound by Al Horford,Thought he was fouled and one day missing on the floater.,1.0
Turnover by Jarrett AllenFoul by Jarrett Allen,"Inside, Alan spins into a double team.",1.0
2-pts Made by Jarrett Jack,DeMarcus Cousins now Jerrod Jackson table layout to start the game and there's the pick and roll I'm talking about.,1.0
Turnover by Maurice HarklessSteal by Tyler Dorsey,"Dillard's passes deflected ends up in Aminu's hands anyway, out of the double team Feeding Harkless Harkless with five to Shoot Boy active hands by the Grizzlies.",1.0
Foul by Stephen Curry,Very little floater and who found him.,1.0
2-pointer by Cameron Payne,a lot of that is Cameron Payne with a beautiful floater.,1.0
2-pointer by LeBron JamesAssist by Kevin Love,"Now you gotta wear this out if they're not going to double team, they're just milking Kevin Love.",0.0
2-pointer by Tobias Harris,But the basically as we see Tobias with the little post up.,1.0
Missed Shot by Jamal MurrayRebound by Ricky Rubio,"Murray keeps it, can't hit the floater, batted out.",1.0
3-pointer by Draymond GreenAssist by Stephen Curry,Backdoor Cat Curry picked up on a double team.,1.0
Missed Shot by Josh RichardsonBlock by Duncan Robinson,Double team comes from none for to shoot.,1.0
Turnover by Kevin LoveSteal by Ben SimmonsFoul by Ben Simmons,We play on simple and easy stealing love outlet passes for the basket.,1.0
2-pointer by Otto Porter Jr.Assist by Kris Dunn,I'll give it another try to Porter the floater falls.,1.0
Missed Shot by OG AnunobyRebound by Jayson Tatum,Double team aren't Vanvleet goes the other way down to four on the shot Clock on an OB to the bucket.,1.0
Missed Shot by Kevin KnoxMissed Shot by Kevin KnoxMissed Shot by Kevin KnoxMissed Shot by Kevin KnoxMissed Shot by Mitchell RobinsonRebound by Kevin KnoxRebound by Mitchell Robinson,"George went through some of his numbers as Kevin Knox misses on the other end, but chases down the rebound and tipping in Robinson.",1.0
Missed Shot by Patrick BeverleyRebound by Jamal Murray,Patrick Beverley still coming back from that calf injury that floater halfway down and out.,1.0
2-pointer by Andre DrummondAssist by Markieff Morris,"Post up for dropping right away, banging with Alex Len.",1.0
2-pointer by DeMar DeRozan,"There just shouldn't happen, and you need not double teaming Jokic on the low block if you're gonna stay home with their shooting.",0.0
Missed Shot by LaMarcus AldridgeRebound by Kevin Durant,"Aldridge gets rid before the double team, but trust the shot.",1.0
Missed Shot by Dennis Smith Jr.Rebound by Dwight Powell,Having some trouble in the post up and the loose ball is picked up by the white power pole.,1.0
2-pointer by Kentavious Caldwell-PopeAssist by Brandon Ingram,Double teams going away by Lonzo.,1.0
2-pointer by Zach LaVine,Slam dunk champ.,0.0
Missed Shot by Taurean PrinceRebound by Gary Harris,"Locked out of five temple looking for the pick, pick and roll without fighting fires.",1.0
2-pointer by Patty Mills,The fadeaway for two.,1.0
Missed Shot by TJ Warren,But get to Adams quickly on that pick and roll.,1.0
2-pointer by James Harden,"Oh, the left hand floater.",1.0
Steal by Mason PlumleeTurnover by Frank Mason,Now those floaters not falling.,1.0
Missed Shot by Rodney Hood,"Rodney Hood gets inside, Floater, misses ball, knock loose, Hood gets it back.",1.0
Steal by Khris MiddletonTurnover by Al Horford,Middleton tries to take advantage double team comp.,1.0
Missed Shot by Marvin WilliamsRebound by Marvin Williams2-pts Made by Marvin Williams,Full head of Steam Marvin Teardrop in and out.,1.0
Missed Shot by Kemba WalkerRebound by Al Horford,Tatum with a nice floater over the top Kemba.,0.0
Missed Shot by Caris LeVertFoul by Caris LeVert,can't get the floater to fall foul.,1.0
Missed Shot by Trae YoungRebound by Frank Ntilikina,Of course in scoring tray with a floater or try again.,1.0
Dunk by JaVale McGeeAssist by LeBron James,McKee on the pick and roll and that's how you.,1.0
Missed Shot by Anthony DavisRebound by Elfrid Payton,The floaters won't go rebound deflected and taken by Peyton.,1.0
2-pointer by Maurice HarklessAssist by Jusuf Nurkic,Damien outside double team bounces over to Dirk dumps at Low Brain.,1.0
Missed Shot by Jusuf Nurkic,Lillard posting up against Brunson finds a cutter for the weak side and Dirks defense against Yusif.,1.0
Assist by Marc Gasol,We've got flop Cam standing by as well as Kyle Lowry berries at three.,1.0
Missed Shot by Isaiah ThomasRebound by Jarrett Allen,Statistically worst defense in the NBA is Isaiah Thomas who misses on the floater.,1.0
Foul by Tyler Dorsey,The Left handed player at Bettys shut the majority of those floaters with his right hand.,0.0
2-pointer by LaMarcus Aldridge,He loves that left side of the floor and a fadeaway jumper over the Magic 7 foot center.,1.0
Foul by Marcus Morris,Pick and roll every single time as you see KD coming off of Cousins.,1.0
Missed Shot by De'Aaron FoxRebound by Richaun HolmesMissed Shot by Richaun HolmesRebound by OG Anunoby,"Fox, the little floater.",1.0
Missed Shot by Will Barton,What makes the coast to coast?,1.0
Rebound by Devin BookerMissed Shot by Damian Lillard,The double team finds Trent Junior Swanigan swings it around.,1.0
2-pointer by Ben Simmons,"A good sign that Conley makes his first floater Simmons, with a little baby hook shot in the paint.",0.0
2-pointer by Jeremy Lamb,Have to take a fadeaway contested shot TJ Warren.,1.0
2-pointer by Jeff Teague,Rescreening is Gibson Teague with the floater.,1.0
2-pointer by Bruce Brown,Brown with a floater banks it in Bruce Brown the rookie out of Miami of Florida.,1.0
2-pointer by Noah VonlehAssist by Kadeem AllenFoul by Jayson Tatum,Little finger roll goals in a chance for three point play and then it's out to a quick corner bead.,1.0
2-pointer by Damion LeeAssist by D'Angelo Russell,Great touch with the floater.,1.0
Missed Shot by Derrick Jones Jr.Rebound by Jerami Grant,Yeah really can hurt you off the pick and roll game is approved as a 3 point shooter hurt Miami beyond the arc from the dotted line.,0.0
2-pointer by Trae Young,Great young little floater rolls in.,1.0
2-pointer by E'Twaun MooreAssist by Rajon Rondo,Here comes holiday office screen Double teamed over Rondo into the Lane drops in the more ball cap.,1.0
2-pointer by Eric BledsoeFoul by Darius Garland,"Johnson also had his first NBA 222 nights ago in that game against Indiana Garlands, exactly the foul line's teardrop is true.",0.0
Replay - Manual,"But when he comes cross selling off their brush green, he's a good post up player.",1.0
Missed Shot by Kawhi LeonardRebound by Ivica Zubac,"Here's Quarry, watched by Hood, picked off by Zubats, Hawaii with the floater.",1.0
Missed Shot by Jusuf NurkicRebound by Nikola Jokic,"Chief works the inline drops it to Nurkic, draws a double team of a couple of seven footers.",1.0
Steal by George HillTurnover by Jonas Valanciunas2-pointer by George HillAssist by LeBron James,Don't try and judge us until we are whole and healthy and they double team balance Unison.,1.0
2-pointer by Daniel Theis,"Thanks for the floater, and that's the first story again.",1.0
2-pointer by Robert CovingtonAssist by Jake Layman,He was six for seven on floaters last night.,0.0
Dunk by Julius RandleAssist by Kenrich Williams,"Veteran head coach in the NBA, Williams off to turn over Anna Randall with a slam dunk.",1.0
Missed Shot by Jerami GrantRebound by Enes Kanter,"Westbrook drives and kicks Ferguson, who had a couple of trees early in that game, finds Grant into the link to the glass finger, rolled up no Panther defense.",1.0
Turnover by Thomas WelshSteal by Chinanu Onuaku,Welsh posting up.,1.0
3-pointer by Jamal MurrayAssist by Nikola Jokic,Of course immediately double team Jokic who passes cross court to Murray.,1.0
3-pointer by Dragan BenderAssist by Elie Okobo,"A7 footer had never done before, never done and then they created the post up at the free throw line.",0.0
Missed Shot by Darren Collison,It's interesting they trying to switch some pick and rolls.,1.0
Turnover by Rudy Gobert,"Chased by Kuczma pick and roll, it Gobert loss to handle.",1.0
